Itemized report for invoice #USI25-03921252
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Jul 23, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","53","click","0.68","35.80","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","140","click","0.66","92.39","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","77","click","0.42","32.08","USD"
"The Employers Choice","e32aaa6348335b1d","4042257-152-1","Insurance Representative","Little Rock, AR","103","click","0.56","57.99","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","149","click","0.53","78.98","USD"
"The Employers Choice","0ac6460c384380f5","4042257-177-3","Insurance Representative","Holly Springs, MS","82","click","0.80","66.00","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","104","click","0.57","59.01","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","50","click","1.25","62.41","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","59","click","1.19","70.33","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","110","click","0.52","57.48","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","218","click","0.24","52.42","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","81","click","0.34","27.33","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","28","click","1.36","37.95","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","103","click","0.73","75.04","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","87","click","0.34","30.00","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","103","click","0.95","97.41","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","111","click","0.42","46.48","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","53","click","0.41","21.57","USD"
,,,,,,,"Total cost","1000.67","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.67","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
