Itemized report for invoice #USI25-05028088
"This itemized report reflects the cost of each item purchased on the associated invoice."

"Itemization details Sep 3, 2025"

Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total,Currency
"The Employers Choice","489c9ea2ce571217","4042257-168-1","Sales Associate","Dallas, TX","56","click","0.80","44.88","USD"
"The Employers Choice","870c07f9b5e8b83b","4042257-147-1","Sales Representative","Maumelle, AR","110","click","0.84","92.53","USD"
"The Employers Choice","889054002d0dcea5","4042257-148-1","Sales Associate","Maumelle, AR","51","click","0.60","30.50","USD"
"The Employers Choice","373d225604dc3f0f","4042257-195-1","Insurance Representative","Grapevine, TX","2","sponsored job daily cost","15.00","30.00","USD"
"The Employers Choice","f3bbd67af42b42e1","4042257-183-1","Sales Representative","Tyler, TX","45","click","0.68","30.70","USD"
"The Employers Choice","43bc17320b98a102","4042257-194-1","Insurance Representative","Dallas, TX","72","click","0.65","46.77","USD"
"The Employers Choice","77293667443d372d","4042257-181-1","Insurance Representative","Jonesboro, AR","69","click","1.17","80.77","USD"
"The Employers Choice","fd7cf2f02cef8860","4042257-188-1","Sales Associate","Indianapolis, IN","36","click","1.26","45.47","USD"
"The Employers Choice","9bbb621ea1839a35","4042257-139-1","Sales Associate","Searcy, AR","109","click","0.64","70.28","USD"
"The Employers Choice","3fb4258b211237c9","4042257-171-1","Insurance Representative","Indianapolis, IN","46","click","1.88","86.69","USD"
"The Employers Choice","3d667d2a2f1747a4","4042257-175-2","Virtual Insurance Representative","Fayetteville, AR","96","click","0.40","38.63","USD"
"The Employers Choice","3ed4fcd795a1af44","4042257-193-1","Insurance Representative","Birmingham, AL","38","click","0.80","30.58","USD"
"The Employers Choice","4fe7ba770e7281bb","4042257-192-1","Insurance Representative","Evansville, IN","47","click","1.68","78.95","USD"
"The Employers Choice","802eb1777372fb34","4042257-187-1","Virtual Insurance Representative","Southaven, MS","56","click","0.58","32.72","USD"
"The Employers Choice","4e1290f21e69b986","4042257-172-4","Insurance Representative","Carmel, IN","48","click","1.62","77.96","USD"
"The Employers Choice","6bebd637ef6a80fb","4042257-184-1","Virtual Insurance Representative","Oxford, MS","51","click","0.58","29.72","USD"
"The Employers Choice","fe6d8e12c4e18050","4042257-190-1","Insurance Representative","Huntsville, AL","29","click","0.73","21.04","USD"
"The Employers Choice","56411bd623e8d037","4042257-178-1","Insurance Representative","Rogers, AR","49","click","1.85","90.66","USD"
"The Employers Choice","243eae2b72de5001","4042257-191-1","Insurance Representative","Mobile, AL","49","click","0.84","41.28","USD"
,,,,,,,"Total cost","1000.13","USD"
,,,,,,,"Tax","0.00","USD"
,,,,,,,"Total amount","1000.13","USD"


"This itemized report reflects the cost of each item purchased on the associated invoice."
