Billing Date,Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total
9/3/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",49,click,0.84,41.28
8/31/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",10,click,0.67,6.73
8/31/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",51,click,0.73,37.17
8/28/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",61,click,0.6,36.73
8/25/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",74,click,0.76,55.87
8/23/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",54,click,0.52,28.22
8/20/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",85,click,0.56,47.65
8/18/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",40,click,0.8,32.09
8/15/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",87,click,0.56,48.78
8/12/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",66,click,0.65,43.04
8/9/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",42,click,0.64,26.74
8/6/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",102,click,0.62,63.34
8/4/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",105,click,0.46,48.18
7/31/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",85,click,0.56,47.97
7/26/2025,The Employers Choice,243eae2b72de5001,4042257-191-1,Insurance Representative,"Mobile, AL",73,click,0.48,34.86
,,,,,,,,Total cost,598.65
,,,,,,,,10% Billing Fee,59.865
,,,,,,,,Total amount,658.515
