Invoice Number,Invoice Date,Company,Job Key,Reference Number,Job Title,Location,Quantity,Unit,Average Cost,Total
USI25-04613779,"Aug 25, 2025",The Employers Choice,489c9ea2ce571217,4042257-168-1,Sales Associate,"Dallas, TX",69,click,0.67,46.02
USI25-04613779,"Aug 25, 2025",The Employers Choice,870c07f9b5e8b83b,4042257-147-1,Sales Representative,"Maumelle, AR",107,click,0.80,85.39
USI25-04613779,"Aug 25, 2025",The Employers Choice,889054002d0dcea5,4042257-148-1,Sales Associate,"Maumelle, AR",61,click,0.45,27.38
USI25-04613779,"Aug 25, 2025",The Employers Choice,f3bbd67af42b42e1,4042257-183-1,Sales Representative,"Tyler, TX",55,click,0.51,27.98
USI25-04613779,"Aug 25, 2025",The Employers Choice,43bc17320b98a102,4042257-194-1,Insurance Representative,"Dallas, TX",61,click,0.67,41.12
USI25-04613779,"Aug 25, 2025",The Employers Choice,77293667443d372d,4042257-181-1,Insurance Representative,"Jonesboro, AR",55,click,0.94,51.94
USI25-04613779,"Aug 25, 2025",The Employers Choice,9bbb621ea1839a35,4042257-139-1,Sales Associate,"Searcy, AR",90,click,0.59,53.55
USI25-04613779,"Aug 25, 2025",The Employers Choice,3d667d2a2f1747a4,4042257-175-2,Virtual Insurance Representative,"Fayetteville, AR",96,click,0.35,33.29
USI25-04613779,"Aug 25, 2025",The Employers Choice,802eb1777372fb34,4042257-187-1,Virtual Insurance Representative,"Southaven, MS",64,click,0.41,26.33
USI25-04613779,"Aug 25, 2025",The Employers Choice,6bebd637ef6a80fb,4042257-184-1,Virtual Insurance Representative,"Oxford, MS",55,click,0.53,28.92
USI25-04613779,"Aug 25, 2025",The Employers Choice,095cbf54656b79d3,4042257-177-4,Insurance Representative,"Conway, AR",43,click,1.01,43.22
USI25-04613779,"Aug 25, 2025",The Employers Choice,56411bd623e8d037,4042257-178-1,Insurance Representative,"Rogers, AR",50,click,1.72,86.12
,,,,,,,,,,SUBTOTAL - Invoice USI25-04613779
,,,,,,,,,,551.26
,,,,,,,,,,GRAND TOTAL + 10% - Invoice USI25-04613779
,,,,,,,,,,606.39
,,,,,,,,,,
